InventoryID,BorrowingLanguageGlottocode,BorrowedSound,SourceLanguageGlottocode,OnlyInLoanwords,Result,NewDistinction,Comments.x,Verified,Glottocode,LanguageName,BibTexKey,Filename,Contributor,Comments.y,PhoibleID,ClosestNeighbor,family_id,parent_id,name,bookkeeping,level,status,latitude,longitude,iso639P3code,description,markup_description,child_family_count,child_language_count,child_dialect_count,country_ids,glottocode,isocodes,macroarea,is_rhotic,to_analysis,another_native_rhotic,distinction_in_donor,source,rhotic_comment
5,agua1253,ɾ,"stan1288, huam1247",no,new phoneme,"tap, rhotic","there is a native phoneme /ɾ/, attested in very few words mostly onomatopeic which has an allophone /l/. the distinction between /ɾ/ and /l/ is saved in spanish loans. /ɾ/ appears in several names taken from Huambisa. the phoneme /ɾ/ is not associated with historical Chicham rhotic.",NA,agua1253,Aguaruna,overall2017aguaruna,NA,NA,NA,NA,NA,jiva1245,jiva1245,Aguaruna,FALSE,language,vulnerable,-5.30044,-77.9218,agr,NA,NA,0,0,0,PE,agua1253,agr,South America,TRUE,Yes,No,,overall2017aguaruna: 38-39,
6,musa1266,ɾ,tokp1240,no,phonologization of allophone,"flap, liquid",allophone of /d/ in native phonology,NA,musa1266,Aisi,daniels2015sogeram,NA,Einav Levanon,NA,NA,NA,nucl1709,aisi1234,Aisi,FALSE,language,definitely endangered,-5.37407,145.197,mmq,NA,NA,0,0,0,PG,musa1266,mmq,Papunesia,TRUE,Yes,No,,Daniels 2015: 771-772 (Aisi grammar sketch),
8,aleu1260,ɹ,stan1293,yes,new phoneme,rhotic,NA,Eitan Grossman,aleu1260,Aleut,bergsland1997aleut,NA,Elad Eisen,NA,NA,NA,eski1264,eski1264,Aleut,FALSE,language,definitely endangered,52.1228,-174.29,ale,NA,NA,0,0,2,RU US,aleu1260,ale,North America,TRUE,Yes,Yes,No,"Knut Bergsland, Aleut Grammar: 16-19",
32,nucl1310,r,pali1273,yes,new phoneme,unknown,NA,NA,nucl1310,Burmese,wheatley2003burmese,NA,Eitan Grossman,NA,NA,NA,sino1245,oldm1246,Burmese,FALSE,language,definitely endangered,20.7926,93.9665,mya,NA,NA,0,0,3,BD MM TH,nucl1310,mya,Eurasia,TRUE,Yes,No,,Wheatley (2003: 198-199),
36,cent2142,r,stan1288,yes,new phoneme,trill,NA,NA,cent2142,Central Aymara,hardman2001aymara,NA,NA,NA,NA,NA,ayma1253,nucl1667,Central Aymara,FALSE,language,vulnerable,-17,-68.5,ayr,NA,NA,0,0,0,AR BO CL PE,cent2142,ayr,South America,TRUE,Yes,Yes,Yes,Hardman 2001: 16-17,"[r̝] seems to be an allophone of /r/. /r/ contrasts with /ɾ/ (in the speech of bilinguals), the way it does in Spanish."
36,cent2142,r̝,"stan1288, quec1387",no,phonologization of allophone,trill,defined as 'voiced sibilant trill'. Appears also as an allophone of native /ɾ/ in the environment of /s/.,NA,cent2142,Central Aymara,hardman2001aymara,NA,NA,NA,NA,NA,ayma1253,nucl1667,Central Aymara,FALSE,language,vulnerable,-17,-68.5,ayr,NA,NA,0,0,0,AR BO CL PE,cent2142,ayr,South America,TRUE,Yes,Yes,Yes,Hardman 2001: 16-17,"[r̝] seems to be an allophone of /r/. /r/ contrasts with /ɾ/ (in the speech of bilinguals), the way it does in Spanish."
39,lish1247,ʁ,arab1395,yes,phonologization of allophone,to be checked,NA,NA,lish1247,Challa Neo-Aramaic (Jewish NENA),fassberg2010challa,NA,KurdistanDB,NA,NA,NA,afro1255,nort3242,Lishana Deni,FALSE,language,definitely endangered,31.7745,35.2225,lsd,NA,NA,0,0,8,IL,lish1247,lsd,Eurasia,TRUE,Yes,Yes,Yes,fassberg2010challa: 11-12,
41,chil1281,ɽ,stan1293,yes,new phoneme,to be checked,Found only in ad hoc borrowings (code-switches),NA,chil1281,Chiliwack,galloway1977chilliwack,NA,Eitan Grossman,NA,NA,NA,sali1255,halk1245,Chiliwack,FALSE,dialect,safe,NA,NA,NA,NA,NA,0,0,0,NA,chil1281,NA,North America,TRUE,Yes,No,,galloway1977chilliwack: 1:2,Not sure whether a trill or an approximant
44,chol1282,r,stan1288,yes,new phoneme,no,NA,NA,chol1282,Chol,vasquez2011chol,NA,Eitan Grossman,NA,NA,NA,maya1287,chol1281,Chol,FALSE,language,safe,17.4897,-92.4698,ctu,NA,NA,0,0,0,MX,chol1282,ctu,North America,TRUE,Yes,No,,vasquez2011chol: 35,
45,chol1284,r,stan1288,yes,new phoneme,to be checked,NA,NA,chol1284,Cholón,adelaar2004cholon,NA,Eitan Grossman,NA,NA,NA,hibi1242,hibi1242,Cholón,FALSE,language,extinct,-9.23129,-75.9621,cht,NA,NA,0,0,0,PE,chol1284,cht,South America,TRUE,Yes,No,,adelaar2004cholon: 464,
