"InventoryID","SegBoInventoryIDs","Glottocode","ISO6393","LanguageName","Phoneme","Allophones","Marginal","SegmentClass","Source","PhoibleID","in_phoible","in_segbo","phoible_rank","same_doculect","full_intersection","rank"
1160,"1","abau1245","aau","Abau","ɑ","ɑ","FALSE","vowel","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","e","e","FALSE","vowel","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","h","h ɸ m̥ n̥","FALSE","consonant","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","i","i","FALSE","vowel","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","j","j","FALSE","consonant","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","k","k kʰ","FALSE","consonant","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","m","m","FALSE","consonant","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","n","n","FALSE","consonant","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","o","o","FALSE","vowel","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","p","p pʰ b","FALSE","consonant","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","ɾ","d t ɹ ɾ","FALSE","consonant","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","s","s","FALSE","consonant","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","u","u","FALSE","vowel","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","w","w","FALSE","consonant","ph",NA,1,NA,1,NA,NA,1
1160,"1","abau1245","aau","Abau","t",NA,NA,NA,"ph",NA,NA,1,1,NA,NA,1
1160,"1","abau1245","aau","Abau","d̠ʒ",NA,NA,NA,"ph",NA,NA,1,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","a",NA,NA,"vowel","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","aː",NA,NA,"vowel","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","c",NA,NA,"consonant","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","e",NA,NA,"vowel","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","eː",NA,NA,"vowel","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","ə",NA,NA,"vowel","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","əː",NA,NA,"vowel","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","ɣ",NA,NA,"consonant","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","h",NA,NA,"consonant","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","i",NA,NA,"vowel","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","iː",NA,NA,"vowel","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","k",NA,NA,"consonant","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","l",NA,NA,"consonant","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","m",NA,NA,"consonant","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","n",NA,NA,"consonant","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","ɲ",NA,NA,"consonant","saphon",NA,1,NA,1,NA,NA,1
1914,"526","abip1241","axb","Abipon","o",NA,NA,"vowel","saphon",NA,1,NA,1,NA,NA,1
